Name,Age,Nationality,Club,Preferred Foot,Crossing,Dribbling,LongPassing,ShotPower
A. Zapata,33,Colombia,América de Cali,Right,37,50,64,66
S. Szmodics,22,England,Colchester United,Right,52,67,54,61
A. Trusty,19,United States,Philadelphia Union,Left,36,41,62,54
Ryu Won Woo,27,Korea Republic,Pohang Steelers,Left,9,10,23,21
F. Dick,33,Germany,1. FC Kaiserslautern,Right,73,59,64,78
D. Rose,24,England,Mansfield Town,Right,47,63,49,64
M. Oesterhelweg,27,Germany,VfL Sportfreunde Lotte,Left,65,64,52,78
D. Mignanelli,25,Italy,Ascoli,Left,67,59,58,58
Lee Jong Ho,26,Korea Republic,Ulsan Hyundai FC,Left,52,62,63,67
Z. Clark,26,Scotland,St. Johnstone FC,Right,10,12,19,15
S. Stevens,26,Netherlands,Excelsior,Right,15,12,18,21
Sergio Gil,22,Spain,CD Lugo,Left,69,66,70,59
U. Zeybek,23,Turkey,Fenerbahçe SK,Right,42,52,66,59
A. Acosta,21,Mexico,U.N.A.M.,Right,66,64,59,66
K. Oi,34,Japan,Júbilo Iwata,Right,49,23,42,34
Y. Sari,19,Turkey,Clermont Foot 63,Left,65,72,56,63
M. Ruiz,17,Mexico,Querétaro,Right,63,68,70,66
L. Holmes,31,England,Exeter City,Left,67,65,60,52
D. Powers,27,United States,Orlando City SC,Right,61,64,64,71
S. Henderson,30,Republic of Ireland,Nottingham Forest,Right,19,17,34,19
S. Scougall,25,Scotland,St. Johnstone FC,Left,63,72,66,63
Cho Yong Hyung,34,Korea Republic,Jeju United FC,Right,57,34,62,66
Cho Young Wook,19,Korea Republic,FC Seoul,Right,48,62,54,59
H. Koffi,21,Burkina Faso,LOSC Lille,Right,11,10,26,21
S. Sandberg,24,Sweden,Hammarby IF,Right,63,59,62,58
T. Gabuza,30,South Africa,Orlando Pirates,Right,56,64,31,72
P. Muñoz,32,Chile,CD O'Higgins,Right,62,66,48,55
C. MacGillivray,25,England,Portsmouth,Right,14,19,34,18
C. Arcus,22,Haiti,AJ Auxerre,Right,64,58,56,46
A. Dercho,31,Germany,VfL Osnabrück,Left,67,68,52,43
H. Hauger,32,Norway,Strømsgodset IF,Right,40,53,63,65
Manu,34,Switzerland,Elche CF,Left,63,56,59,59
J. Leko,19,England,West Bromwich Albion,Right,48,76,41,66
J. Aguirre,26,Colombia,Atlético Bucaramanga,Right,9,5,25,22
Kim Chang Soo,32,Korea Republic,Ulsan Hyundai FC,Right,57,63,62,55
L. Ćirković,25,Serbia,FC Luzern,Right,41,37,60,38
Isma Cerro,22,Spain,Real Sporting de Gijón,Right,58,71,56,58
E. Castillo,23,Ecuador,Club Tijuana,Right,71,72,59,62
P. Downing,26,England,Blackburn Rovers,Right,47,40,53,57
R. Vollath,28,Germany,KFC Uerdingen 05,Right,10,17,21,18
A. Munksgaard,20,Denmark,FC Midtjylland,Right,65,61,60,48
M. Ogbu,27,Nigeria,IK Sirius,Right,52,64,54,56
Jang Ho Ik,24,Korea Republic,Suwon Samsung Bluewings,Right,61,63,58,48
K. Bartolec,23,Croatia,FC Nordsjælland,Right,63,66,60,57
G. Malcore,24,Italy,Cittadella,Right,46,63,47,68
V. Gvilia,24,Georgia,FC Luzern,Right,58,65,70,67
D. Burnić,20,Germany,Borussia Dortmund,Left,57,66,65,56
A. Öztürk,25,Turkey,Sunderland,Right,31,50,58,72
K. Taketomi,27,Japan,Urawa Red Diamonds,Right,61,66,64,70
M. Mancosu,29,Italy,Lecce,Right,59,65,62,63
D. Jaković,32,Canada,Los Angeles FC,Right,17,42,49,52
M. Saeid,27,Sweden,IK Sirius,Left,64,66,65,81
U. Taffertshofer,26,Germany,VfL Osnabrück,Right,26,53,62,54
A. Medina,33,Argentina,Club Atlético Aldosivi,Right,56,73,59,70
M. Papadopulos,33,Czech Republic,Piast Gliwice,Right,52,56,57,70
N. Zaniolo,18,Italy,Roma,Left,39,64,64,59
F. Montero,29,Argentina,Argentinos Juniors,Right,57,64,64,67
J. Vuković,26,Croatia,Clube Sport Marítimo,Right,61,69,68,44
E. Barli,26,Norway,Ranheim Fotball,Right,12,12,23,34
G. Carrasco,21,Argentina,Club Atlético Lanús,Right,60,61,60,28
A. Balijon,35,France,Le Havre AC,Right,10,11,24,19
I. Saavedra,19,Chile,Universidad Católica,Right,42,67,66,61
Z. Janjić,32,Bosnia Herzegovina,Korona Kielce,Right,66,67,65,68
J. Skjelvik,26,Norway,LA Galaxy,Left,54,59,61,65
K. Kamiński,27,Poland,Júbilo Iwata,Right,13,14,24,25
M. Endres,27,Germany,SpVgg Unterhaching,Right,29,34,54,41
B. Delacourt,32,France,KSV Cercle Brugge,Right,55,32,60,66
C. Rismark,26,Norway,SK Brann,Left,42,57,64,37
A. Ligi,28,Italy,Carpi,Right,25,40,47,20
D. Lachman,28,Curacao,PEC Zwolle,Right,36,58,66,67
M. Riascos,27,Colombia,Al Batin,Right,58,66,49,66
L. Vignali,22,Italy,Spezia,Right,65,64,63,63
S. Skålevik,25,Norway,SK Brann,Right,52,62,43,67
M. Djetei,23,Cameroon,Gimnàstic de Tarragona,Right,32,45,55,45
A. Fuchs,21,Germany,1. FC Nürnberg,Right,53,68,64,53
M. Könnecke,29,Germany,FSV Zwickau,Right,65,67,57,68
E. Yao Guy,22,Ivory Coast,FC Lugano,Right,38,53,38,48
G. Burke,24,Republic of Ireland,Preston North End,Left,60,65,60,73
C. Hemlein,27,Germany,1. FC Kaiserslautern,Right,66,66,53,72
D. Anderson,23,Netherlands,US Salernitana 1919,Right,62,67,53,56
M. Døhr Thychosen,21,Denmark,FC Midtjylland,Right,64,66,55,61
A. Nordvik,31,Norway,Odds BK,Left,59,52,59,68
D. Thomalla,25,Germany,1. FC Heidenheim 1846,Right,56,63,48,68
P. Parzyszek,24,Poland,Piast Gliwice,Right,42,60,33,59
M. Fornasier,24,Italy,Pescara,Right,28,41,40,29
Michel Douglas,26,Brazil,CD Aves,Left,45,66,52,65
Álex Cobo,22,Spain,Deportivo de La Coruña,Right,21,14,32,25
M. Çelik,28,Sweden,BK Häcken,Right,65,64,55,69
L. Woudenberg,24,Netherlands,SC Heerenveen,Left,63,59,62,41
T. Tekie,21,Sweden,Östersunds FK,Right,52,72,69,60
D. Vega,25,Costa Rica,SK Brann,Left,56,67,48,68
N. Rusyn,19,Ukraine,Dynamo Kyiv,Right,32,56,27,62
Víctor,21,Spain,Deportivo de La Coruña,Right,65,68,60,64
A. Deja,25,Poland,Arka Gdynia,Right,53,64,63,59
F. Cornejo,22,Chile,Audax Italiano,Right,54,57,63,62
A. Balboa,24,Uruguay,Belgrano de Córdoba,Right,35,65,50,70
D. Edwards,32,Wales,Reading,Right,62,62,58,63
R. Vargas,23,Bolivia,,Right,52,74,53,62
F. Rherras,25,Morocco,AS Béziers,Right,65,64,53,78
Gu Sung Yun,24,Korea Republic,Hokkaido Consadole Sapporo,Right,11,11,17,19
C. Mavrias,24,Greece,Hibernian,Right,60,67,57,66
E. Martinez,27,Uruguay,Colorado Rapids,Right,47,66,63,65
Lee Chang Geun,24,Korea Republic,Jeju United FC,Right,14,16,24,16
M. Mohsen,29,Egypt,,Right,51,64,34,69
A. Gómez,25,Peru,Minnesota United FC,Left,57,66,55,71
N. Ramírez,21,Chile,Club Deportes Temuco,Right,34,48,53,52
C. Gebauer,24,Austria,SCR Altach,Right,62,68,52,63
C. Knett,27,Austria,FC Wacker Innsbruck,Right,10,13,19,23
K. Naismith,26,Scotland,Wigan Athletic,Left,68,65,61,73
Rober Correa,25,Spain,Cádiz CF,Right,68,46,52,64
C. Escobar,28,Chile,San Luis de Quillota,Right,29,59,58,64
J. Smeets,23,Netherlands,Fortuna Sittard,Right,59,63,65,65
Borja Galán,25,Spain,AD Alcorcón,Right,67,64,65,70
J. Intriago,22,Ecuador,,Right,62,69,68,65
D. Sjölund,35,Finland,IFK Norrköping,Left,61,58,64,64
E. Bonifacio,24,Argentina,Gimnasia y Esgrima La Plata,Right,64,61,36,35
Lee Ho Seung,28,Korea Republic,Jeonnam Dragons,Right,10,11,15,20
G. Hein,21,France,FC Metz,Left,58,66,64,67
H. Abe,19,Japan,Kashima Antlers,Right,45,81,40,62
A. De Bruyn,24,Belgium,Sint-Truidense VV,Right,56,71,58,70
J. Akinde,28,England,Lincoln City,Right,46,56,46,64
D. McGregor,32,Scotland,Hibernian,Right,32,54,53,43
G. Villarruel,25,Argentina,San Martín de San Juan,Right,61,68,58,64
Pastrana,21,Spain,RC Celta,Left,64,69,66,49
Teixeira José,28,Brazil,Pohang Steelers,Right,68,67,39,24
A. Fernández,32,Uruguay,San Martin de Tucumán,Right,62,69,65,68
J. Devecchi,22,Argentina,San Lorenzo de Almagro,Right,16,15,25,24
C. Früchtl,18,Germany,FC Bayern München,Left,10,13,25,29
I. Rondanini,23,Italy,Brescia,Right,58,61,46,61
W. Creavalle,27,Guyana,Philadelphia Union,Right,47,61,55,45
A. Considine,31,Scotland,Aberdeen,Left,58,60,57,42
J. Vitale,22,Argentina,San Martin de Tucumán,Right,42,55,68,65
J. Ryerson,20,Norway,1. FC Union Berlin,Right,61,61,58,59
J. Ríos,26,Colombia,Alianza Petrolera,Right,59,58,65,64
K. Dabila,21,Ivory Coast,LOSC Lille,Right,32,35,44,43
Avilés,20,Spain,CD Leganés,Right,64,68,61,52
No Dong Geon,26,Korea Republic,Suwon Samsung Bluewings,Right,17,12,43,22
Benjamin Muscato,26,Brazil,Chapecoense,Right,41,41,51,45
N. Topor-Stanley,33,Australia,Newcastle Jets,Left,54,45,58,59
P. Clement,22,Netherlands,Reading,Right,59,64,65,57
H. Toffolo,22,England,Lincoln City,Left,65,61,57,58
C. Colkett,21,England,Shrewsbury,Left,68,65,67,61
B. Çamoğlu,21,Turkey,Karlsruher SC,Right,60,67,56,36
Yang Dong Hyen,32,Korea Republic,Cerezo Osaka,Right,51,63,41,64
S. Tetteh,21,Ghana,LASK Linz,Right,55,67,46,74
A. Dobos,18,Hungary,Fortuna Sittard,Left,62,70,62,65
J. Mason,27,Republic of Ireland,Portsmouth,Right,56,65,60,65
Lee Woong Hee,29,Korea Republic,FC Seoul,Right,52,57,46,24
C. Lavery,25,Northern Ireland,Bury,Right,55,64,50,65
M. Savastano,21,Netherlands,AZ Alkmaar,Left,56,64,40,59
N. Granatowski,27,Germany,SV Meppen,Right,63,63,45,63
M. Stiefler,29,Germany,Karlsruher SC,Right,61,67,60,57
L. Pavez,22,Chile,Unión Española,Left,70,54,49,61
S. Román,23,Colombia,Once Caldas,Right,16,21,23,16
M. Bakker,18,Netherlands,Ajax,Left,60,63,66,44
A. Sambi Lokonga,18,Belgium,RSC Anderlecht,Right,53,73,67,50
M. Pérez Acuña,24,Argentina,Club Atlético Tigre,Right,69,63,53,43
K. Dempsey,22,England,Fleetwood Town,Right,59,70,68,57
Lee You Hyeon,21,Korea Republic,Jeonnam Dragons,Right,64,65,62,37
Y. Quintana,22,Uruguay,San Jose Earthquakes,Right,27,51,57,52
B. Knighton,33,United States,New England Revolution,Right,17,12,22,21
R. Bennett,26,England,Peterborough United,Right,53,54,54,45
A. Lonergan,34,England,Middlesbrough,Left,12,11,27,24
B. Sverrisson,28,Iceland,Aarhus GF,Left,57,60,58,74
D. Forde,38,Republic of Ireland,Cambridge United,Right,19,19,33,23
H. Gong,19,Nigeria,Vitesse,Right,61,69,47,62
T. Kupisz,28,Poland,Ascoli,Right,66,63,61,65
M. Abusabaan,28,Saudi Arabia,Al Faisaly,Right,58,65,60,64
C. Amaya,27,Colombia,Once Caldas,Right,48,63,27,62
Wu Yake,27,China PR,Changchun Yatai FC,Right,14,13,17,19
M. Schulz,23,Germany,FC Luzern,Right,51,62,62,66
O. Rojas,36,Mexico,Lobos BUAP,Right,64,61,62,67
P. Jaroszyński,23,Poland,Chievo Verona,Left,64,54,60,49
L. Reed,20,England,Peterborough United,Right,50,65,66,52
T. Elrich,31,Australia,Western Sydney Wanderers,Right,62,62,58,59
M. Malaeka,32,Saudi Arabia,Al Faisaly,Right,13,12,17,15
C. Rentería,22,Colombia,Deportes Tolima,Right,39,47,55,67
S. Cox,31,Republic of Ireland,Southend United,Right,55,62,56,68
A. Mannus,36,Northern Ireland,Shamrock Rovers,Right,13,13,30,21
P. Jaeckel,19,Germany,SpVgg Greuther Fürth,Right,35,29,36,47
J. Bijol,19,Slovenia,PFC CSKA Moscow,Right,45,56,58,58
Z. Kozulj,24,Bosnia Herzegovina,Pogoń Szczecin,Right,64,66,66,68
Song Jin Hyung,30,Korea Republic,FC Seoul,Right,65,64,63,63
C. Duvall,26,United States,Montreal Impact,Right,62,58,55,62
R. Williams,21,England,Wycombe Wanderers,Right,65,69,58,60
M. Naamani,27,Algeria,Al Fateh,Right,28,36,38,35
M. Gollner,27,Austria,Wolfsberger AC,Left,46,50,40,28
D. Pedersen,25,Denmark,Lillestrøm SK,Right,57,55,62,53
O. Berber,26,Turkey,Kayserispor,Left,55,54,49,56
Steven Vitória,31,Canada,Lechia Gdańsk,Right,37,42,54,74
B. Stokke,27,Norway,Randers FC,Left,38,59,48,69
M. Ospitalieri,26,Belgium,Fortuna Sittard,Left,68,65,61,59
J. Haugaard,26,Denmark,Stoke City,Left,13,13,30,22
S. Mauk,22,Australia,Brisbane Roar,Right,60,65,64,62
Óscar Whalley,24,Spain,Aarhus GF,Left,24,16,30,24
S. O'Donnell,32,Republic of Ireland,Dundalk,Left,55,58,65,58
Marquinhos Cipriano,19,Brazil,Shakhtar Donetsk,Left,54,69,47,52
I. Vassell,24,England,Birmingham City,Right,54,63,46,64
T. Lehne Olsen,27,Norway,Lillestrøm SK,Right,42,58,52,71
S. Pontisso,21,Italy,Udinese,Right,60,60,66,70
Henrique Jardinel,30,Brazil,América FC (Minas Gerais),Right,54,68,74,41
C. Almeida,28,Uruguay,Defensa y Justicia,Left,58,65,52,51
R. Yalçın,24,Germany,Çaykur Rizespor,Right,48,67,66,59
S. Jhingan,24,India,,Right,29,31,43,52
Jeong Hyun Cheol,25,Korea Republic,FC Seoul,Right,35,55,66,67
M. McKenzie,19,United States,Philadelphia Union,Right,25,35,56,34
J. Deumeland,30,Germany,IK Start,Right,8,9,22,19
N. Lang,19,Netherlands,Ajax,Right,64,71,55,67
V. Vries,27,Namibia,Kaizer Chiefs,Right,27,27,37,45
L. Verstraete,19,Belgium,Waasland-Beveren,Right,61,67,67,70
J. Jigauri,25,Georgia,Grenoble Foot 38,Right,55,71,62,58
D. Moxey,32,England,Exeter City,Left,67,60,57,57
C. Wernitznig,28,Austria,Wolfsberger AC,Right,61,68,44,74
C. Valeri,33,Australia,Melbourne Victory,Right,54,59,63,62
M. Mosquera,25,Colombia,Patriotas Boyacá FC,Left,56,51,49,57
R. Kouamé,21,Mali,Paris FC,Left,64,66,62,57
D. Chima Chukwu,27,Nigeria,Molde FK,Right,40,61,39,61
E. Harrison,24,Wales,Ipswich Town,Right,54,61,46,65
T. Wendel,29,Germany,VfL Sportfreunde Lotte,Right,32,48,62,66
O. Schnitzler,22,Germany,SC Preußen Münster,Right,13,10,20,23
A. Coly,25,Senegal,Kristiansund BK,Right,55,64,41,71
M. Vera,22,Argentina,CD O'Higgins,Left,55,55,63,62
R. De Vita,30,Italy,Livingston FC,Right,61,65,57,68
F. Lohkemper,23,Germany,1. FC Magdeburg,Right,50,68,39,66
M. Ajani,24,Germany,Hallescher FC,Right,64,66,52,60
M. Lund Nielsen,30,Denmark,Sarpsborg 08 FF,Right,62,54,65,72
T. Mpati,26,Belgium,Sporting Lokeren,Right,59,64,54,46
Edu Espiau,23,Spain,UD Las Palmas,Right,42,62,53,62
H. Acosta,26,Mexico,Deportivo Toluca,Right,59,55,55,35
T. Bu Haymid,30,Saudi Arabia,Al Fayha,Left,64,62,62,65
D. Mikanović,24,Croatia,Aarhus GF,Right,60,61,52,43
R. Massimo,17,Germany,DSC Arminia Bielefeld,Right,51,70,52,62
A. Smárason,29,Iceland,Lillestrøm SK,Right,62,62,61,74
S. Brandy,33,Germany,DSC Arminia Bielefeld,Right,66,62,56,71
B. Adjei-Boateng,24,Ghana,Colorado Rapids,Right,43,59,61,73
F. Milo,26,Argentina,San Martín de San Juan,Left,64,73,59,40
K. Cissé,34,Mali,Central Coast Mariners,Right,44,59,57,51
D. Castillo,27,Chile,CD Universidad de Concepción,Right,25,22,38,18
A. Krešić,22,Croatia,US Cremonese,Right,28,31,29,41
Escriche,20,Spain,CD Lugo,Right,35,61,40,64
E. Ataseven,25,Turkey,Akhisar Belediyespor,Right,52,66,65,63
M. Kopczyński,26,Poland,Wellington Phoenix,Right,53,57,61,53
Mao Jianqing,31,China PR,Shanghai Greenland Shenhua FC,Right,61,65,50,67
J. Clarke,26,England,Scunthorpe United,Right,56,52,56,38
Pak Kwang Ryong,25,Korea DPR,SKN St. Pölten,Right,48,59,52,66
J. Husband,24,England,Fleetwood Town,Left,64,64,49,63
A. Al Zori,30,Saudi Arabia,Al Wehda,Left,65,57,45,51
Airam,30,Spain,Cracovia,Right,45,54,56,60
M. Schulze Niehues,29,Germany,SC Preußen Münster,Right,14,15,15,42
P. De la Vega,17,Argentina,Club Atlético Lanús,Right,61,68,53,63
P. Sweeney,23,Republic of Ireland,Exeter City,Right,60,58,54,50
P. Tuszyński,28,Poland,Zagłębie Lubin,Right,57,65,51,64
J. Mosquera,27,Colombia,América de Cali,Right,43,59,65,57
M. Coppolaro,21,Italy,Venezia FC,Right,56,56,52,57
R. Mmaee,21,Belgium,Aarhus GF,Right,48,69,41,60
S. Inagaki,26,Japan,Sanfrecce Hiroshima,Right,64,65,67,58
E. Mwepu,20,Zambia,FC Red Bull Salzburg,Right,56,67,63,68
F. Viteritti,25,Germany,FC Energie Cottbus,Right,62,65,59,67
A. Dyer,28,Montserrat,IF Elfsborg,Right,56,58,59,54
M. Mak,26,Poland,Lechia Gdańsk,Right,62,63,59,65
Bae Il Hwan,29,Korea Republic,Jeju United FC,Right,63,59,58,66
H. Adelakun,22,England,Bristol City,Right,62,68,62,68
M. Devlin,24,Scotland,Aberdeen,Right,28,34,36,41
J. Serra,20,Germany,Holstein Kiel,Left,32,52,28,72
G. Faivre,31,Switzerland,FC Thun,Right,10,10,18,16
K. Ellis,27,United States,DC United,Right,59,56,58,63
L. Janoszka,31,Poland,Zagłębie Lubin,Left,60,61,62,58
P. Azango,21,Nigeria,KAA Gent,Left,66,72,48,54
M. Kennedy,23,Scotland,St. Johnstone FC,Right,66,67,53,63
N. Fitzgerald,26,Australia,Western Sydney Wanderers,Right,56,64,56,61
M. Kudo,28,Japan,Sanfrecce Hiroshima,Right,53,56,46,68
N. Busch Thor,32,Sweden,IK Sirius,Left,61,59,69,54
M. Harriman,25,Republic of Ireland,Wycombe Wanderers,Right,65,61,53,45
L. Görtler,24,Germany,FC Utrecht,Right,57,60,45,61
D. Ovono,35,Gabon,Paris FC,Right,12,14,24,22
L. Pellegrini,19,Italy,Roma,Left,69,64,40,36
K. Larsen,26,Norway,Sarpsborg 08 FF,Right,63,70,41,66
A. Kruiswijk,33,Netherlands,Vitesse,Left,54,53,60,60
A. Jaakkola,31,Finland,Reading,Right,15,11,45,26
T. Chong,18,Netherlands,Manchester United,Left,66,68,58,60
P. Alvarenga,30,Paraguay,San Martín de San Juan,Right,38,54,41,66
M. Pascali,36,Italy,Cosenza,Right,50,44,55,57
L. Dyer,35,England,Bolton Wanderers,Left,62,65,63,61
P. Delecroix,29,France,FC Metz,Right,10,10,36,24
E. Hooi,26,Curacao,ADO Den Haag,Right,62,68,51,61
J. Riley,26,England,Plymouth Argyle,Right,57,62,58,67
J. López,26,Algeria,Paris FC,Right,57,67,60,57
C. Stokes,27,England,Bury,Left,56,53,50,56
J. Campbell,25,United States,Chicago Fire,Right,41,23,58,34
Marcão,22,Brazil,Clube Sport Marítimo,Right,34,36,39,40
D. Mungo,25,Italy,Cosenza,Right,64,64,64,65
G. Marinelli,29,Argentina,Club Atlético Tigre,Right,12,14,18,12
G. Wegkamp,25,Germany,VfL Sportfreunde Lotte,Right,52,60,38,68
A. Gersbach,21,Australia,Rosenborg BK,Left,61,59,50,36
You Ju An,19,Korea Republic,Suwon Samsung Bluewings,Right,50,62,62,63
M. Tacalfred,37,France,AJ Auxerre,Right,60,51,60,65
I. Durmuş,24,Turkey,FC Wacker Innsbruck,Left,63,65,56,64
J. Méndez,21,Ecuador,,Right,62,58,67,64
A. Otero,34,Colombia,Patriotas Boyacá FC,Right,15,19,20,25
Kim Jin Ya,20,Korea Republic,Incheon United FC,Right,62,67,53,55
D. Christensen,29,Denmark,Vendsyssel FF,Left,63,56,56,51
N. DeLeon,27,United States,DC United,Right,51,68,59,72
L. Grozurek,26,Austria,SK Sturm Graz,Right,62,65,51,64
L. Narváez,33,Colombia,Junior FC,Right,46,21,71,45
R. McArdle,31,Northern Ireland,Scunthorpe United,Right,37,27,38,50
J. Pérez,20,United States,Los Angeles FC,Left,65,69,52,67
Loureiro,21,Spain,Córdoba CF,Right,59,63,31,32
Javi Hernández,20,Spain,Real Oviedo,Left,67,60,46,60
K. Appiah,27,Ghana,AFC Wimbledon,Right,55,58,43,58
R. Kirilov,26,Bulgaria,,Right,65,71,59,53
H. Matynia,22,Poland,Pogoń Szczecin,Right,60,53,37,51
Fran Gámez,26,Spain,RCD Mallorca,Right,55,60,57,57
O. Ademi,26,Switzerland,FC Würzburger Kickers,Right,40,58,41,68
J. Bjørdal,32,Norway,SV Zulte-Waregem,Right,44,40,61,67
A. Stolz,34,Germany,TSG 1899 Hoffenheim,Right,12,14,38,23
Borja García,28,Spain,Extremadura UD,Left,27,34,61,42
N. Sonko Sundberg,22,Sweden,Östersunds FK,Right,34,43,57,55
T. Božić,30,Croatia,Miedź Legnica,Right,25,44,42,34
Guridi,23,Spain,Real Sociedad,Left,44,67,68,51
Fabio González,21,Spain,UD Las Palmas,Right,45,59,65,56
W. Thomas,31,England,Grimsby Town,Right,36,59,42,66
M. Costly,22,Germany,1. FC Magdeburg,Right,67,66,51,48
T. Knoflach,24,Austria,SK Rapid Wien,Right,13,17,19,23
Z. Vyner,21,England,Rotherham United,Right,55,56,52,39
B. Atik,23,Turkey,SG Dynamo Dresden,Right,56,68,50,57
L. Goujon,22,France,AJ Auxerre,Right,54,65,67,52
M. Ferrier,23,England,Walsall,Right,42,66,40,70
H. Salinas,28,Chile,Deportes Iquique,Left,71,59,59,71
K. Nakamachi,32,Japan,Yokohama F. Marinos,Right,43,44,61,57
J. Ekkelenkamp,18,Netherlands,Ajax,Right,54,64,66,62
L. Haquin,20,Bolivia,,Right,28,26,47,47
L. Legge,33,England,Port Vale,Right,28,31,46,31
K. Harris,25,England,Cardiff City,Right,61,71,52,53
S. Avellaneda,28,Colombia,Boyacá Chicó FC,Right,13,19,17,21
F. Ávila,24,Colombia,Patriotas Boyacá FC,Right,60,70,65,52
M. Almebäck,30,Sweden,Örebro SK,Right,46,34,50,48
J. Günther-Schmidt,23,Germany,FC Carl Zeiss Jena,Right,52,64,38,71
B. Rivero,22,Argentina,Newell's Old Boys,Right,46,56,59,54
L. Argudo,22,United States,Columbus Crew SC,Right,59,65,54,62
J. Leutwiler,29,Canada,Blackburn Rovers,Right,16,13,44,49
J. Ortiz,27,Chile,Curicó Unido,Left,58,58,63,53
E. Demirović,20,Bosnia Herzegovina,FC Sochaux-Montbéliard,Right,34,59,31,76
H. Petryk,23,Uruguay,San Martin de Tucumán,Right,57,67,32,27
S. O'Keefe,27,England,Plymouth Argyle,Right,52,61,62,62
Woo Ju Sung,25,Korea Republic,Gyeongnam FC,Right,60,57,52,59
A. Čermák,23,Czech Republic,Viktoria Plzeň,Left,41,70,68,49
E. Schreiner,29,Austria,SCR Altach,Left,62,62,53,59
A. Ba,19,France,AS Nancy Lorraine,Right,45,65,63,56
U. Moses Ekpai,22,Nigeria,Viktoria Plzeň,Right,58,66,53,66
L. Daniels,30,England,Brentford,Right,12,11,31,23
R. Laursen,26,Denmark,Odense Boldklub,Right,62,58,55,45
J. Cullen,22,Republic of Ireland,Charlton Athletic,Right,51,67,64,52
N. Kijewski,22,Germany,Eintracht Braunschweig,Left,60,66,67,45
B. Passi,20,France,Montpellier HSC,Right,61,59,63,55
T. Müller,23,Germany,1. FC Magdeburg,Right,28,31,50,42
R. Procházka,29,Slovakia,Viktoria Plzeň,Right,38,44,58,49
A. Alvarez,33,El Salvador,Houston Dynamo,Left,65,69,53,72
Alex Vallejo,26,Spain,Córdoba CF,Right,54,49,67,47
M. Pepić,22,Montenegro,FC Hansa Rostock,Left,57,70,64,61
Matheus Jesus,21,Brazil,Portimonense SC,Left,51,69,64,76
M. Gebers,32,Germany,SV Meppen,Right,27,26,48,39
E. Pimentel,28,Mexico,Puebla FC,Right,53,38,49,35
A. Jackson-Hamel,24,Canada,Montreal Impact,Right,29,56,34,70
Paulito Zanon,26,Brazil,Paraná,Right,39,32,71,62
L. Amos,21,England,Tottenham Hotspur,Left,57,61,67,57
S. Gomez,22,Colombia,Itagüí Leones FC,Left,40,63,66,56
Omar Santana,27,Spain,Miedź Legnica,Right,46,67,57,45
Y. M'Bone,25,Cameroon,La Berrichonne de Châteauroux,Right,55,57,55,57
Salva Ruíz,23,Spain,RCD Mallorca,Left,70,60,58,41
J. Deschamps,34,Chile,Curicó Unido,Right,28,7,45,42
F. Feuillassier,20,Argentina,Real Madrid,Right,64,70,45,72
P. Haglund,31,Sweden,IK Sirius,Right,40,56,62,68
Henrique,33,Brazil,Brisbane Roar,Right,57,66,39,67
K. Hemmings,26,England,Notts County,Right,38,63,43,68
P. Jerez,31,Chile,Club Deportes Temuco,Right,68,55,52,59
W. Ponce,20,Chile,CD Universidad de Concepción,Right,37,67,49,65
K. Ford,22,United States,Colorado Rapids,Right,25,39,27,30
R. Grzyb,35,Poland,Jagiellonia Białystok,Right,64,61,62,68
G. Gunning,27,Republic of Ireland,Forest Green Rovers,Left,55,50,49,60
I. Šehić,29,Bosnia Herzegovina,BB Erzurumspor,Right,22,5,14,2
B. Potts,23,England,Barnsley,Right,54,63,58,68
A. Hughes,38,Northern Ireland,Heart of Midlothian,Right,46,43,47,48
J. Steer,25,England,Charlton Athletic,Left,11,11,22,22
K. Sharahili,31,Saudi Arabia,Al Faisaly,Left,12,15,20,23
J. Hamilton,22,Canada,Toronto FC,Left,28,58,32,65
J. Reimerink,28,Netherlands,VfL Sportfreunde Lotte,Right,62,67,63,58
C. Woodrow,23,England,Barnsley,Right,38,57,33,69
D. Georgievski,30,FYR Macedonia,Newcastle Jets,Right,60,61,59,62
L. Escalante,26,Colombia,Junior FC,Right,57,67,48,63
K. Davis,20,England,Aston Villa,Right,45,72,40,62
V. Morales,27,Chile,Unión La Calera,Right,26,46,41,45
M. Omoh,26,Nigeria,Örebro SK,Right,62,74,43,68
N. Guerra,19,Chile,Universidad de Chile,Right,32,66,56,64
P. Schürpf,28,Switzerland,FC Luzern,Left,65,59,63,71
C. Davies,32,Wales,Mansfield Town,Right,48,61,20,70
A. Keita,31,Guinea,Östersunds FK,Right,10,9,15,23
I. Erquiaga,20,Argentina,Estudiantes de La Plata,Left,60,67,61,41
M. Abena,23,Suriname,De Graafschap,Right,57,57,56,63
Ham Seok Min,24,Korea Republic,Gangwon FC,Right,18,13,33,16
D. Wheeler,27,England,Portsmouth,Right,55,65,43,65
Fran García,25,Spain,Albacete BP,Left,57,52,44,36
S. Sané,25,Germany,Karlsruher SC,Right,30,61,29,68
M. Solís,35,Colombia,Independiente Santa Fe,Right,10,13,17,21
F. Pick,22,Germany,1. FC Kaiserslautern,Right,60,69,54,50
D. Merelli,22,Italy,Padova,Left,10,14,34,22
Zhang Lie,36,China PR,Beijing Renhe FC,Right,20,17,21,20
E. Šipović,27,Bosnia Herzegovina,Ohod Club,Right,30,30,34,43
