Name,ShortPassing,Dribbling,LongPassing,BallControl
A. Stephens,69,72,62,71
Héctor Verdés,56,34,50,42
C. Evans,56,55,45,63
M. Koch,60,40,56,60
Guruzeta,68,67,62,68
J. Aja,51,44,41,48
Josema,60,31,28,53
Quini,68,69,56,70
D. Lovitz,61,63,59,61
José Kanté,64,74,62,72
H. Maïga,69,63,61,67
M. Lumb,65,62,63,65
B. Koïta,60,67,38,67
V. Eicher,25,12,19,24
F. Rodríguez,60,37,50,44
D. Lafferty,63,57,61,64
J. Newell,63,67,65,64
B. Romo,55,43,45,51
T. Thiele,61,64,40,62
D. Mesenhöler,32,12,25,21
Tomás Nuninho,67,61,65,63
A. Saroka,59,60,41,67
M. Dreyer,31,16,13,21
Y. Toutouh,65,68,62,68
A. Vargas,71,67,67,67
S. Ojo,64,72,58,68
Ramon Lopes,63,69,58,70
G. Zarfino,68,64,66,68
N. Gerzić,70,67,72,71
M. Godden,53,58,22,65
Y. Tafer,65,68,58,65
A. Koura,56,69,49,65
David Bruno,57,62,49,67
Fepe Avedo,18,22,15,15
F. Signorelli,70,61,69,64
J. Jørgensen,66,56,64,62
I. Chebake,54,69,47,60
M. Kenlock,63,67,63,66
Mateus Tangil,14,19,13,22
Hwang Jin Sung,73,66,67,70
N. Maynard,61,65,52,65
L. Cháves,26,17,31,18
K. Paal,66,72,61,70
M. Campos,48,65,29,67
B. Hamer,25,18,30,23
A. Jung,67,64,64,68
C. Morgan,58,21,60,55
Y. Konno,75,46,69,57
P. Pellegri,61,68,50,67
F. Andriatsima,59,57,54,69
E. Soriano,55,65,51,61
N. Poulsen,69,64,67,66
A. Ba,59,36,34,52
L. Šimić,52,39,43,46
M. Baudry,61,60,57,55
M. Tandjigora,66,58,53,64
D. Mendoza,62,64,55,66
Ren Hang,58,60,59,59
Caro,26,17,34,20
R. Koike,64,64,54,65
J. Nikolaou,67,38,61,56
Cristian Rivero,22,8,23,17
F. Amuzu,61,71,66,65
V. Lundberg,62,65,59,64
Yago,69,60,66,64
Traeira Lopes,23,8,22,21
C. Grindheim,72,64,69,69
M. Álvarez,67,67,59,71
D. Malone,67,62,59,64
A. Gasbarro,56,57,37,57
S. May,62,65,54,66
Miguel Flaño,60,43,55,58
B. Thompson,67,64,68,67
Paulo Henrique,65,71,68,70
Marcelo Djaló,35,39,29,52
A. Seydel,58,68,35,70
A. Al Fraidi,69,68,65,70
J. Wójcicki,63,64,62,63
C. Hountondji,64,43,58,54
I. Mhirsi,71,69,69,69
Ji Xiang,60,63,63,61
J. Young,30,14,34,22
Welliton Helmes,66,72,51,71
E. Grezda,62,72,57,66
S. Mielitz,24,15,25,20
P. Riese,63,59,65,61
N. Körber,24,18,24,20
A. Rodriguez,73,68,72,65
A. Calisir,59,47,60,57
R. Torres,64,68,61,65
R. McKenzie,66,64,61,66
D. Iorfa,62,62,60,61
L. Rosseti,61,63,45,63
Dani Ojeda,64,66,66,68
M. Preston,57,34,50,53
Josan,63,73,53,68
P. Dahlberg,28,10,28,30
Kim Ho Jun,31,16,32,15
A. Calello,69,60,61,69
J. Sims,66,73,58,68
B. Borrello,60,69,37,66
T. Andreu,69,66,65,65
J. Hendry,64,61,54,62
O. Albornoz,64,55,47,65
M. Thiam,62,70,51,68
B. Djimsiti,68,34,66,65
Y. Regäsel,67,65,56,69
Jo Young Cheol,63,67,59,66
L. Kassi,66,66,60,66
A. Mowatt,71,66,70,71
H. Rivera,64,66,57,67
André Claro,64,70,55,70
Felipe Saad,40,41,39,55
Asdrúbal,67,69,53,70
S. Nieuwpoort,64,57,66,58
Clemente,62,64,42,65
Luan Peres,59,47,58,57
A. Lioi,67,71,58,68
M. López,66,57,62,63
E. Vega,70,66,68,66
A. Messaoud,67,68,60,70
L. Silva,68,66,59,67
J. Højbjerg,37,16,34,18
J. Delgado,61,68,58,70
M. Schwäbe,46,20,44,35
Kwon Kyung Won,63,57,59,59
M. Zetterer,24,17,18,23
Fred Soidares,60,56,52,57
L. Menalo,59,75,55,73
Juan Muñiz,70,66,69,69
Kike Márquez,66,70,62,67
P. Netzer,67,55,62,60
S. Skarlatidis,66,68,56,65
L. Owona,66,22,61,61
J. Samuelsen,68,66,64,67
J. Cummings,58,70,43,67
R. Preißinger,66,62,64,65
S. Pettinari,61,68,53,70
N. Dams,58,46,54,54
B. Edomwonyi,54,71,39,66
R. Naranjo,31,11,25,20
J. Tinhan,54,69,59,64
H. Mizumoto,53,38,48,50
A. Brosque,64,69,54,63
S. Becker,60,70,54,67
Yu Rui,52,52,51,54
P. Senderos,58,31,51,52
F. Rodríguez,60,44,70,55
H. Sato,53,62,51,64
R. Matthews,27,22,32,23
T. Bishop,71,70,67,72
Lluis López,62,47,58,64
S. McLaughlin,64,66,63,65
E. Aguilar,75,68,73,67
M. Asselah,29,8,30,16
A. Dembélé,67,72,61,66
Breno Laranjeiro,70,65,56,71
J. Nietfeld,58,63,35,68
A. Šemper,23,12,24,15
T. Hájek,69,28,62,42
Dani Rodríguez,68,66,65,69
M. Deplagne,65,31,57,63
G. Díaz,64,71,60,70
C. Brunner,64,63,58,66
P. Lipski,69,65,66,69
André Ferreira,24,18,23,24
A. Ribera,65,70,67,67
Assis,30,12,22,22
G. Hernández,67,73,64,68
J. Pineda,57,71,44,70
M. Donoso,52,55,29,60
L. Zander,62,57,53,63
Curro Sánchez,68,67,59,69
Santamaría,17,12,11,15
Z. Dedič,60,67,54,68
C. Vargas,25,13,16,19
Akieme,62,63,43,65
Tete Morente,58,70,57,69
Shin Hyung Min,73,63,69,64
N. Yennaris,64,62,66,65
P. van Ooijen,70,66,67,68
G. Cvijanović,67,67,69,69
T. Taguchi,68,66,62,68
M. Saunier,66,50,69,63
L. Parunashvili,69,57,68,66
R. Acquafresca,60,64,35,65
C. Tabó,61,72,59,68
Claytisco Branco,64,52,63,59
S. Nijland,69,69,62,69
J. Guthrie,58,54,56,56
J. Fernández,61,59,59,63
R. Crivello,65,59,58,59
T. Ayasse,66,48,60,62
D. Zúñiga,65,63,62,62
L. Załuska,42,29,38,23
R. Vasilev,55,65,35,67
M. Schmerböck,63,69,60,66
Y. Abe,73,60,70,72
J. Ruiz,62,57,58,65
M. Bravo,67,69,64,66
Augusto,65,61,65,64
A. Maxsø,61,32,59,62
D. Vergara,56,71,49,64
Park Dong Jin,54,42,48,52
A. Maksimenko,17,14,27,16
M. Vrushaj,65,72,62,70
L. Garbutt,66,65,63,67
G. Munari,68,62,65,66
C. Burke,53,59,29,66
Rudy,63,70,58,69
S. Knežević,59,45,57,48
M. Heider,58,62,55,66
L. Gutiérrez,33,44,35,47
J. Alnwick,29,11,28,31
S. O'Donnell,67,66,64,67
S. Edera,65,73,58,71
A. Arellano,67,63,65,66
G. Hupperts,62,68,57,68
L. Isgrove,59,68,56,66
M. Lampson,33,13,38,38
R. Di Gennaro,26,18,18,25
Melvin Regalito,64,72,55,65
L. Akins,62,68,56,63
J. Valencia,59,64,31,68
L. Ayçiçek,63,72,57,71
E. Albín,65,67,61,66
M. Troiano,71,51,68,66
F. Escobar,47,41,48,40
N. Linares,69,67,63,65
J. Ávila,57,27,67,57
Nuno Valente,70,68,66,69
R. Baku,75,72,66,71
Samu,65,71,58,70
D. Vicencio,55,51,52,45
C. Shields,66,55,60,63
Choi Sung Keun,68,63,66,65
O. Sow,63,68,49,68
L. Orejuela,63,66,59,62
S. Leuko,62,55,53,60
D. Goutas,48,39,43,46
Wilsson Rosito,66,71,76,72
D. Rigo,75,70,70,73
A. Bastoni,55,36,42,45
S. Eastwood,23,14,29,19
T. Boyd,57,54,35,62
F. Nájera,53,35,55,45
Jairo,66,70,55,68
D. Milinković,65,70,60,66
F. Ayé,60,69,44,65
J. Vachoux,22,16,18,20
N. Bajrami,74,66,70,66
P. Mandanda,23,11,20,22
M. Đurić,59,54,43,64
Éverton Luiz,62,62,61,66
Puertas,62,70,59,65
J. Duverne,64,55,59,59
G. Dicker,71,55,68,67
G. Massey,64,67,59,66
N. Stefanelli,57,70,50,69
J. Andrada,66,65,61,64
R. Zhemaletdinov,73,75,63,70
L. Sercombe,70,66,67,65
D. De Belder,62,60,56,63
J. Kubicki,70,59,64,67
J. Rasmussen,62,55,60,55
Y. Ramadani,69,62,67,65
E. Akichi,65,63,68,63
C. Chiricò,60,74,50,65
H. Sacko,59,72,47,66
Chris Farminhão,66,51,62,55
D. Keita-Ruel,51,61,38,61
P. Zulu,65,67,62,69
H. Bahebri,64,69,56,66
C. Arias,58,64,54,69
Jeong Woo Jae,67,69,61,65
W. Dammers,57,60,48,66
K. Kotsaris,25,13,22,19
M. Poletanović,75,64,68,68
J. Hopcutt,59,67,42,69
P. Małecki,64,66,56,63
B. Mitrev,23,16,21,18
Qin Sheng,62,52,69,62
Marco Soares,67,64,69,68
Romário,70,71,59,73
Pedro Trigueira,20,22,23,10
A. Hrustić,70,70,65,72
U. Segura,70,69,66,69
J. Billong,59,47,46,43
L. Arias,67,64,64,65
K. Arkivuo,59,64,58,65
S. Palombi,57,60,57,65
G. Maggiore,70,63,67,66
M. Konrad,64,54,63,56
Zheng Long,62,72,57,65
A. Lazaar,68,70,64,70
J. Donachie,65,34,54,51
J. Bizama,67,60,66,65
A. Rossi,65,64,49,66
Nolaskoain,73,64,62,70
H. Singh,69,66,67,68
João Carlos,64,69,61,68
J. Nation,64,38,60,55
S. Kulovits,62,58,53,64
T. Grøgaard,64,63,52,65
R. Williams,62,67,55,66
F. Miguel,65,61,58,63
M. Bukata,67,67,65,68
K. Broll,21,12,20,17
M. Jiménez,18,13,17,22
K. Nagai,59,67,55,61
C. Philipps,70,65,68,68
M. Sadler,60,58,59,57
F. Centonze,65,65,59,68
J. Ligali,36,10,34,18
A. Sánchez,24,20,22,20
A. Nalini,65,72,55,70
Zheng Zheng,70,68,62,67
Héctor Rodas,58,40,55,53
D. Høegh,62,47,65,56
C. Martschinko,59,65,54,66
F. Micolta,62,70,45,67
J. Piotrowski,67,68,63,70
M. Carretta,64,65,58,67
J. Skalák,63,68,59,71
L. Lindsay,58,39,53,49
V. Hoff,70,67,65,68
M. Zaccagni,74,64,71,74
R. Vera,59,39,58,56
J. Riedel,64,63,64,59
T. Yalçıner,64,63,60,67
B. De Alba,68,67,64,66
A. Nouri,62,66,58,63
C. Gartner,70,67,67,71
T. Geyer,64,33,62,58
L. Domínguez,63,55,60,53
Naldo,66,60,61,62
L. Kelly,64,66,44,66
S. Whalley,61,67,56,64
K. Anzai,61,63,64,67
C. Pontius,66,67,61,67
E. Zavaleta,67,55,62,61
G. O'Neil,71,65,68,70
G. Loovens,61,46,57,53
A. González,60,48,61,55
Luís Cortez,68,64,67,68
M. Hernández,21,14,22,20
C. Donaldson,49,62,42,65
D. Mendiseca,56,56,58,62
S. Cronin,69,58,67,65
J. Taylor,62,66,58,64
R. Hall,61,68,56,64
S. Gbohouo,14,11,13,17
N. Yeri,68,65,64,67
M. Pinato,73,66,67,70
M. Johnson,64,69,53,67
D. Wouters,68,38,66,60
J. Campuzano,70,62,65,62
Z. Valentin,65,60,66,65
L. Néry,64,60,62,65
J. Iglesias,71,64,68,68
M. El Hamdaoui,64,70,59,71
Welson Leima,72,42,65,42
M. Little,61,66,60,62
B. Lennon,66,67,62,66
N. Mitrović,52,33,49,50
Serginho,32,17,25,33
R. Buess,64,61,61,63
A. Al Sahabi,52,57,44,59
Y. El Jebli,71,72,66,73
C. Durkin,69,56,64,65
P. Bengtsson,67,63,62,67
F. Kamberi,54,61,37,61
D. Irandust,68,69,67,71
L. Nomenjanahary,64,69,61,67
D. Steres,67,39,66,59
G. Donyoh,64,69,51,69
Castro,60,64,51,66
F. Troyansky,57,66,53,69
D. Koppers,62,65,59,66
M. Moscati,69,64,65,65
J. Roa,71,60,65,68
Lu Wenjun,56,69,41,61
F. Crivelli,18,15,21,14
J. Amoroso,60,70,60,62
A. Barillà,69,60,62,67
K. Agard,60,63,54,57
Y. Boli,58,68,37,63
Borja Viguera,56,68,61,69
A. Masika,62,72,55,67
S. Kroon,58,70,52,64
A. Al Hafith,60,32,61,49
J. Gradit,65,57,57,62
L. Boeder,64,48,55,63
T. Pochettino,66,71,69,68
A. Robic,64,66,57,67
E. Nazaryna,70,66,73,70
J. Cascante,65,45,55,55
A. Ibrahim,67,68,65,66
F. Ulvestad,65,68,63,69
C. Çavlan,65,68,66,62
F. Ben Youssef,49,56,48,59
M. Pučko,61,70,56,68
C. Gönen,30,13,24,16
S. Moore,24,14,11,34
L. Taylor,56,65,45,65
M. de Leeuw,66,66,51,71
A. Ngamukol,56,66,39,64
F. Brandán,57,71,54,67
Zubiaurre,16,14,14,16
S. Quinn,70,69,64,71
S. Bertram,67,69,60,69
Z. Korcsmár,65,40,60,61
Camacho,72,63,71,70
D. Sorgić,67,59,60,68
P. Mortensen,64,57,28,61
Tekio,56,48,56,53
P. Ofosu-Ayeh,64,66,53,65
M. Bíttolo,63,61,34,59
B. Djiby Fall,60,63,34,66
D. Cardoso,47,52,58,47
J. Demetriou,63,62,62,62
Ilhamjan Iminjan,67,64,65,66
M. Ritzmaier,69,69,67,72
C. Dell'Orco,56,60,40,67
H. Shala,64,69,56,72
R. Williams,32,23,34,15
S. Molina,69,72,63,72
J. Ángulo,66,67,54,65
F. Guichón,62,70,64,64
G. Tormin,62,71,59,70
R. Noya,61,41,40,45
L. Clemenza,72,76,63,77
Paik Seung Ho,71,71,62,72
L. Wolsztyński,68,66,62,68
P. Göbel,70,65,71,62
A. Gouiri,59,70,47,69
S. Bruzzese,37,16,36,33
M. Njie,62,68,48,65
S. Raggett,55,37,54,51
P. Klewin,23,17,19,19
G. Ţucudean,61,59,52,67
J. Ward,64,72,56,71
S. Jovanović,69,68,63,67
N. Schouterden,65,66,67,67
S. Wannenwetsch,64,65,62,65
R. Oxford,63,52,57,57
R. Gelmi,69,27,65,52
Elgezabal,63,39,62,60
C. Schorch,60,53,55,56
F. Migliore,63,63,56,63
M. Gilks,28,12,35,21
Renan Tojeiras,55,70,72,73
G. Miura,59,35,52,47
Juande,67,58,64,62
H. Rojas,70,68,64,69
Nuno Cedrim,73,72,76,75
F. Orlando,61,70,53,69
I. Henderson,62,68,58,70
L. Bostyn,20,4,19,13
L. Abergel,67,63,63,61
A. Zapata,67,68,62,70
M. Smith,61,58,35,66
N. Zimling,69,66,67,67
J. Bager,53,41,43,60
G. Masouras,61,58,60,60
G. Bourillon,69,46,66,64
A. D'Alberto,61,66,54,62
Lee Seok Hyun,72,67,70,67
W. Francis,63,63,57,57
B. Vătăjelu,61,66,58,70
M. Bani,55,50,47,52
N. Butzen,64,67,57,66
L. Ilić,65,73,60,69
E. Trejo,70,72,68,71
T. Eaves,52,59,41,64
D. Del Fabro,51,44,47,47
Pol García,54,36,56,53
F. Escobar,63,60,60,63
D. Agazzi,70,65,67,67
C. Cambon,62,53,58,57
A. Tembeng,68,53,64,61
A. Gomes,67,68,65,68
Estevãtinho,73,63,72,71
S. Lex,62,70,57,64
Bernabé,23,14,22,20
K. Matsubara,67,66,60,64
E. Purita,61,61,50,65
S. Guri,61,59,47,63
C. Albanis,64,74,61,74
F. Holthaus,69,64,66,67
L. da Silva Lopes,65,70,56,69
S. MacDonald,70,63,68,69
M. Reynolds,64,56,61,62
M. Janota,67,69,64,66
Piao Cheng,73,68,69,65
M. McNulty,55,61,36,65
Alan Schons,70,65,68,68
L. Heredia,62,72,59,68
T. Elliott,48,60,26,68
R. Lundström,64,62,62,60
S. Ganz,60,63,49,59
A. El Kaabi,60,66,33,62
P. Testroet,62,67,41,64
S. Benyamina,54,64,33,67
C. Sepúlveda,65,55,63,64
E. Assifuah,59,67,55,64
L. Robles,62,55,61,62
V. N'Simba,65,67,59,67
C. Handke,55,35,42,43
S. Córdova,59,71,50,62
K. Kratz,69,66,68,68
M. Lowe,67,62,58,67
Claude Gonçalves,64,62,61,65
D. Swanson,65,66,62,65
G. Trauner,65,58,60,64
Accioly,57,38,26,47
G. Iñíguez,72,68,68,70
D. Furlong,57,63,51,71
J. Larsson,63,69,53,71
Matheus Índio,65,67,56,69
Guarrotxena,62,66,60,64
D. McGowan,62,53,58,57
B. Sankoh,66,62,63,65
G. Evans,64,63,59,63
J. Gómez,62,57,61,65
A. Márquez,67,63,62,72
O. Čelůstka,70,67,63,68
F. Öztorun,62,66,67,61
C. Mafla,52,66,37,51
I. Ochoa,72,63,74,70
Lucas Fernandes,68,74,62,72
Fernando Andrade,58,67,41,62
T. Breukers,57,61,56,58
E. Salomonsson,59,54,54,58
A. Iacobucci,27,18,38,26
P. Izzo,34,22,32,23
M. Farrona Pulido,63,71,39,67
S. Diarra,66,67,64,68
Frederico Rendel,63,66,53,65
R. Tait,61,61,46,62
Y. Kurtuluş,69,67,67,68
M. Starke,67,71,52,68
J. Wilson,59,63,52,65
E. Tozlu,69,72,61,72
Javi Flores,72,69,63,69
R. Cereceda,63,63,65,69
E. Padella,54,34,42,53
J. Onguéné,48,43,34,49
B. Bahn,65,69,62,68
D. Prokop,64,76,58,72
N. Seufert,72,69,66,72
S. Lobjanidze,60,68,53,70
J. Miño,63,51,67,59
M. Ullmann,62,66,59,62
M. Mandorlini,71,64,68,70
C. Mahoney,59,76,53,68
J. Fortes,62,61,60,59
G. Mastinu,72,67,65,68
Alex Doneiro,65,67,50,70
Miguel Oliveira,23,17,16,24
J. von Haacke,71,64,67,71
Jang Yun Ho,71,58,66,65
F. Beijmo,59,55,55,62
D. Furman,67,65,68,67
Park Jong Woo,67,66,64,67
E. Lieftink,70,60,68,68
Diego Aguirre,64,69,63,68
Gustavo Pastinho,50,74,49,73
R. Manaj,59,63,39,69
F. Kadioglu,64,72,57,70
Alex López,74,65,71,69
D. Perkins,70,59,64,67
J. Bendik,17,10,25,16
Varela,64,64,59,66
Oriol Busquets,70,63,66,67
Pipa,65,61,45,63
Pardo,52,28,66,50
T. Lam,67,61,64,67
J. Rodon,65,51,38,56
Abel Ruiz,65,65,42,63
J. Attinella,27,21,35,19
A. Mendoza,70,64,65,68
P. Zinckernagel,63,71,56,69
E. Güral,69,64,68,65
Ko Seung Beom,70,64,65,66
E. Zhegrova,64,78,54,74
B. Baráth,62,48,54,61
E. Bakker,68,64,67,67
G. Kastaneer,54,73,29,73
R. Rubin,67,67,53,67
F. Altamirano,27,15,27,22
M. Wanitzek,70,68,67,74
H. Fujiharu,62,53,39,61
C. Colmán,51,66,36,64
K. Kuchaev,65,70,55,71
J. Shonga,69,72,35,66
S. Sararer,63,72,53,67
M. Grimes,74,64,68,71
G. Kamara,70,65,68,71
J. Salas,72,64,72,68
R. Perraud,72,70,68,69
G. Baldock,66,65,57,66
Y. Nakayama,68,62,67,67
P. Eler,64,64,51,65
Nano,68,66,74,69
X. Mlambo,78,68,69,72
O. Andrievskyi,72,42,78,49
A. Judge,72,69,62,68
E. Alvarado,22,13,29,21
Buatu,53,52,41,57
A. Czerwiński,59,63,44,64
V. Sarno,62,71,63,69
M. Pušić,62,61,55,64
E. Fryers,63,68,51,62
P. Caballero,68,62,45,64
A. El-Abd,51,45,48,50
K. Wojtkowski,67,72,63,71
T. Boss,29,16,28,21
J. Earl,58,65,48,63
S. Özkan,60,72,66,69
J. Murillo,58,55,50,60
S. Jaime,71,58,48,64
M. Bader,66,63,45,66
D. Arboleda,60,32,35,41
B. Merlini,71,68,64,63
M. Smith,59,59,56,65
M. Helik,63,47,51,49
J. Föhrenbach,63,60,53,61
K. Mizunuma,69,67,59,67
S. Jamieson,60,61,57,62
R. Grange,65,63,68,66
D. Nazarov,69,70,49,69
C. Robles,70,51,65,63
M. Akbaş,60,58,58,60
J. Eggestein,64,70,59,71
P. Bouby,61,55,66,66
V. Berisha,61,67,49,66
Sérgio Marakis,66,60,57,64
N. Rubio,65,64,58,63
Xande Silva,63,74,45,72
Claudio Silbeiro,53,68,49,63
S. Marzo,62,58,60,61
G. Villagra,72,48,68,70
Carlos Abad,24,19,25,21
M. Prévot,15,6,22,13
C. Maguire,62,66,65,67
F. Serrarens,67,62,52,64
K. Løkberg,66,63,63,64
S. Scherder,61,35,59,48
Venanzio Meirás,69,64,68,72
João Pedro,54,64,30,59
L. Duarte,70,68,66,66
Quintanilla,69,54,73,62
E. Carvajal,69,68,57,70
T. Fosu,59,70,53,68
L. Caicedo,70,70,65,67
Néstor Albiach,65,70,64,71
A. DeLaGarza,67,57,58,63
A. Durak,65,66,65,70
T. Haye,73,71,71,75
Jaílson,67,60,59,62
J. Steele,53,12,45,36
P. Vlachodimos,64,66,64,64
D. Bohar,64,68,61,68
H. Elhouni,62,74,51,73
O. Mihálik,53,70,49,71
L. Nestor,63,42,64,51
J. Thomassen,65,57,61,64
S. Lewerenz,63,71,53,66
V. Marchetti,70,63,73,72
G. Lódico,75,70,67,68
Leandro,63,66,60,64
R. Colclough,68,71,63,67
J. Ampuero,56,38,47,43
Dani Romera,55,67,39,65
C. Acuña,59,61,47,59
A. Radovanović,58,30,55,32
W. Moimbé-Tahrat,64,64,63,63
R. de Boer,22,19,23,18
N. Julan,62,65,48,63
T. Ebner,65,57,58,60
A. Vindheim,62,66,55,63
L. Acevedo,52,21,33,55
S. Zúñiga,66,72,63,63
T. Vlietinck,66,67,58,68
E. Friberg,70,58,69,67
A. Oshilaja,58,54,52,56
G. Herrera,62,63,47,62
J. Nyholm,63,61,64,63
D. Nishi,70,65,68,67
Nadjack,60,62,51,63
K. Broadfoot,56,54,61,56
K. Omori,72,65,69,67
K. Begois,17,16,30,33
Alemão,58,38,52,40
T. Asta-Buruaga,56,45,41,55
K. Azamoum,73,66,72,68
A. Mozo,64,64,61,64
A. Gilbey,68,64,66,64
S. Nagasawa,62,66,32,67
Jorge Fellipe,55,42,45,51
M. Rutten,67,59,65,64
Neris,61,32,57,45
Moon Chang Jin,66,70,57,68
J. Mena,53,47,49,50
C. Espinosa,74,66,73,70
A. Nkaka,65,59,62,64
Álvaro Tejero,64,61,40,67
F. Concas,66,70,62,71
A. Coșelev,19,13,17,10
D. Kolovos,65,71,62,69
Zhang Yuning,67,61,63,68
J. Perch,65,58,61,65
Rafael de Aseiro,34,14,28,18
I. Niane,55,74,43,65
J. Anibaba,63,49,57,56
Iñigo Muñoz,62,74,47,72
T. Sana,65,73,58,71
P. Papp,67,43,64,49
T. Tzandaris,68,66,65,67
K. Staude,67,77,49,72
A. Oumarou,59,68,42,65
Lee Bum Young,32,14,32,16
I. Kecojević,59,28,38,58
L. Cárdenas,48,21,49,19
L. López,71,63,69,66
A. Sedlar,61,31,56,40
A. Woodyard,71,58,66,61
I. Koné,66,48,66,61
J. Hernández,65,63,61,65
J. Espinoza,67,66,64,63
T. Hamed,68,69,65,60
L. Dvali,46,31,44,41
T. Ugajin,68,65,66,68
Abraham,63,65,57,66
G. Edwards,61,74,63,63
J. Zuluaga,65,49,68,56
A. Lundqvist,64,55,60,65
C. Wyke,54,62,30,66
B. Godeau,63,43,65,60
P. Mullins,48,61,27,67
T. Sekine,63,65,68,62
Zé Turbo,53,63,37,64
I. Franjić,65,66,60,67
M. Boxall,63,56,57,60
J. Schoop,68,63,64,68
C. Traoré,49,68,56,57
J. Williams,75,55,72,56
A. Jackson,62,45,37,60
L. Povea,71,65,69,68
S. Ngom,58,69,52,67
Adaílton,62,71,53,68
A. Bell,62,73,55,65
B. Galloway,69,49,55,68
F. Bravo,64,58,62,63
Rubén Yáñez,27,16,22,14
H. Belkebla,71,66,66,69
Y. Mutō,66,68,61,63
P. Frattali,29,13,30,23
Yu Dabao,62,65,54,63
C. Noone,56,72,63,72
D. Kempe,62,60,58,61
J. Thomsen,65,53,62,63
Derik,62,57,63,64
N. Lomb,26,14,32,20
S. Traut,66,60,57,66
J. Ryan,68,66,64,68
J. Morris,65,64,61,65
S. Goss,72,61,73,68
S. Aytaç,67,67,60,66
K. Miyoshi,65,71,52,69
J. Opoku,67,72,62,69
S. Sutter,68,59,62,65
R. Vloet,66,65,65,69
I. Depe,68,72,65,70
S. Campo,70,68,64,69
G. Gotti,61,69,52,68
Zhao Mingjian,66,64,62,58
V. Rennella,63,65,48,67
Nacho,59,71,59,72
Ícaro,48,40,30,56
A. Crawford,68,68,65,67
A. Ajeti,54,42,52,53
I. Vetokele,58,65,56,67
B. Aloé,47,32,45,61
B. Véjar,65,67,60,65
M. Al Kuwaykibi,57,74,51,70
Z. Ismail,62,68,58,66
A. Fletcher,49,66,35,63
A. Martinelli,68,66,64,67
K. Henry,64,61,62,65
L. Guwara,63,65,53,65
Sancet,69,72,64,74
Mandi,68,52,64,65
M. Sarr,67,49,55,51
S. Hefti,51,48,58,61
C. Monschein,48,66,28,65
L. Belingheri,71,67,67,71
M. Lovera,68,74,52,69
J. Nerwinski,61,60,57,60
M. Turner,52,22,49,52
Cesinha,66,71,40,70
M. Escudero,54,31,46,53
J. Rivas,62,40,52,50
S. Szymański,63,72,60,72
E. Kılınç,69,71,60,70
Jon Erice,71,52,69,64
F. Sears,64,65,58,68
Kang Min Soo,56,46,46,62
P. Lienhart,54,46,48,59
T. Miller,21,20,28,22
R. Fennell,66,66,71,66
M. Ibáñez,25,11,23,14
A. Arrighini,65,61,57,67
J. Cádiz,59,64,44,67
L. Kozák,56,56,37,64
T. Hoban,64,51,56,58
B. Romero,64,68,56,69
G. Togni,63,72,51,67
R. Perticone,66,32,55,62
K. Kitagawa,60,67,50,61
G. Tello,67,72,56,69
I. Pallas,62,24,57,48
B. Carvallo,63,71,61,70
J. Hesketh,74,71,64,71
J. Clément,70,57,67,70
C. Songkrasin,64,71,60,61
Quim Araujo,71,68,70,63
K. Hause,64,53,63,55
D. Quiñónes,61,71,58,63
T. Wachsmuth,60,23,63,60
J. Harvey,64,57,55,62
Hwang Ki Wook,71,62,67,65
K. Pusch,70,61,62,69
K. Ota,70,70,71,67
M. Mouandilmadji,57,62,36,58
J. McCarthy,63,61,56,61
André Bahia,54,42,56,56
B. Kopplin,61,63,56,63
S. Contessa,55,61,51,60
J. Löhmannsröben,67,54,66,60
T. Rowe,64,66,63,64
M. Răduţ,63,66,62,65
M. Hamdaoui,67,72,57,72
I. Bandalovski,57,63,65,65
D. Bamba,58,67,42,63
H. Berríos,59,63,55,59
M. El Allouchi,68,70,62,74
M. Barreto,69,68,62,65
F. Tardieu,66,63,69,65
A. Barbaro,64,73,66,69
C. Verdonk,65,63,68,69
A. Blondell,55,63,43,67
Eddy Silvestre,64,69,60,70
Z. MacMath,29,13,38,16
M. Sao,49,75,48,64
T. Bingöl,67,71,59,66
M. Busch,64,64,54,64
T. Cantwell,68,69,61,71
Xiao Zhi,60,62,53,63
B. Smith,63,62,60,61
E. Suagher,51,38,49,54
C. Flórez,67,50,60,52
T. Ebuehi,54,64,47,62
Kaio Aldair,67,62,57,71
I. Groothuizen,30,14,26,22
Provencio,71,65,59,71
Jairo Morillas,51,60,34,63
M. Al Fatil,58,28,50,55
T. Deng,64,48,45,58
D. Lamkel Zé,70,71,63,67
V. Luchkevych,69,67,66,69
J. Edmundsson,65,66,53,69
G. Long,27,16,22,23
J. Radošević,66,49,63,61
M. Pennington,64,49,53,54
Z. Ondrášek,57,56,50,59
C. Remmer,61,64,60,65
L. Slagveer,58,67,54,66
F. Lewis,62,66,62,62
M. Rivoredo,71,65,67,68
J. Vásquez,66,64,65,65
M. Svilar,37,19,32,22
J. Jeggo,65,63,66,66
G. Navarrete,72,66,62,61
Alemão,51,54,41,57
Y. Coulibaly,58,63,55,60
F. Saavedra,71,65,70,71
R. Framberger,62,49,51,63
J. Vargas,67,72,55,68
S. Aluko,65,70,55,70
M. Power,69,63,68,65
S. Pasa,70,62,67,67
F. Valot,65,69,63,69
J. Kalla,65,59,59,65
S. Chhetri,56,63,39,64
Bicho,69,68,65,72
M. Parensen,66,63,65,67
R. Manning,66,65,65,68
